raw_code,raw_label,full_label,clean_label,label_class,major_category,ml_class,class_id,include_in_analysis,include_in_ml,color_hex,notes
CALG,CALG,Coralline algae,Coralline algae,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,TRUE,TRUE,#8b0000,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
NA,NA,Neogoniolithon,Neogoniolithon,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,TRUE,TRUE,#8b0000,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
POR,POR,Porolithon,Porolithon,subcategory,CORALLINE ALGAE (CA),CORALLINE ALGAE (CA),7,TRUE,TRUE,#8b0000,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
ASC,ASC,Ascidian,Ascidian,subcategory,ASCIDIAN,ASCIDIAN,12,TRUE,TRUE,#9acd32,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
O,O,Other,Other,subcategory,OTHER LIVE (OL),OTHER LIVE (OL),11,TRUE,TRUE,#ffd700,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
P,P,Pavement,Pavement,subcategory,"SAND, PAVEMENT, RUBBLE (SPR)","SAND, PAVEMENT, RUBBLE (SPR)",8,TRUE,TRUE,#d8c28a,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
R,R,Rubble,Rubble,subcategory,"SAND, PAVEMENT, RUBBLE (SPR)","SAND, PAVEMENT, RUBBLE (SPR)",8,TRUE,TRUE,#d8c28a,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
S,S,Sand,Sand,subcategory,"SAND, PAVEMENT, RUBBLE (SPR)","SAND, PAVEMENT, RUBBLE (SPR)",8,TRUE,TRUE,#d8c28a,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
UNK,UNK,Unknown,Unknown,subcategory,UNKNOWNS (U),UNKNOWNS (U),14,TRUE,TRUE,#bdbdbd,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
SHAD,SHAD,Shadow,Shadow,artifact,"TAPE, WAND, SHADOW (TWS)","TAPE, WAND, SHADOW (TWS)",13,TRUE,TRUE,#00ffff,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
TAPE,TAPE,Tape,Tape,artifact,"TAPE, WAND, SHADOW (TWS)","TAPE, WAND, SHADOW (TWS)",13,TRUE,TRUE,#00ffff,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
WAND,WAND,Wand,Wand,artifact,"TAPE, WAND, SHADOW (TWS)","TAPE, WAND, SHADOW (TWS)",13,TRUE,TRUE,#00ffff,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DCOR,DCOR,Diseased coral,Diseased coral,disease_or_condition,DISEASED CORALS (DC),DISEASED CORALS (DC),10,TRUE,TRUE,#000000,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DCA,DCA,Dead coral with algae,Dead coral with algae,subcategory,DEAD CORAL WITH ALGAE (DCA),DEAD CORAL WITH ALGAE (DCA),9,TRUE,TRUE,#8c564b,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
DG,DG,Dead gorgonian,Dead gorgonian,subcategory,DEAD CORAL WITH ALGAE (DCA),DEAD CORAL WITH ALGAE (DCA),9,TRUE,TRUE,#8c564b,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
ODC,ODC,Old dead coral,Old dead coral,subcategory,DEAD CORAL WITH ALGAE (DCA),DEAD CORAL WITH ALGAE (DCA),9,TRUE,TRUE,#8c564b,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
RDC,RDC,Recently dead coral,Recently dead coral,subcategory,DEAD CORAL WITH ALGAE (DCA),DEAD CORAL WITH ALGAE (DCA),9,TRUE,TRUE,#8c564b,Example mapping aligned to _existing/clean_transect_raw.py major_class/label_class vocabulary. Raw labels remain CPCe short codes; clean/full labels are species or benthic type names. Review against your project CPCe codefile before analysis.
